"Mánuður";"Allt íbúðarhúsnæði";"Breyting milli mánaða (%)"
"Júní 2015";428,5;0
"Júlí 2015";432,3;0,9
"Ágúst 2015";433,3;0,2
"September 2015";438,5;1,2
"Október 2015";441,2;0,6
"Nóvember 2015";442,5;0,3
"Desember 2015";448,5;1,4
"Janúar 2016";451,4;0,6
"Febrúar 2016";453,2;0,4
"Mars 2016";456,5;0,7
"Apríl 2016";459,8;0,7
"Maí 2016";465,1;1,2
"Júní 2016";475,3;2,2
"Júlí 2016";485,8;2,2
"Ágúst 2016";490,2;0,9
"September 2016";491,8;0,3
"Október 2016";501,4;2
"Nóvember 2016";508,2;1,4
"Desember 2016";515,7;1,5
"Janúar 2017";524,8;1,8
"Febrúar 2017";537,7;2,5
"Mars 2017";552,1;2,7
"Apríl 2017";564,2;2,2
"Maí 2017";574,6;1,8
"Júní 2017";576;0,2
"Júlí 2017";578;0,3
"Ágúst 2017";583,6;1
"September 2017";588,4;0,8
"Október 2017";589,4;0,2
"Nóvember 2017";585,1;-0,7
"Desember 2017";586,3;0,2
"Janúar 2018";592,1;1
"Febrúar 2018";594,9;0,5
"Mars 2018";594,6;-0,1
"Apríl 2018";598,8;0,7
"Maí 2018";600,9;0,4
"Júní 2018";606;0,8
"Júlí 2018";607,9;0,3
"Ágúst 2018";607,5;-0,1
"September 2018";611,3;0,6
"Október 2018";613,8;0,4
"Nóvember 2018";619,9;1
"Desember 2018";620,8;0,1
"Janúar 2019";623;0,4
"Febrúar 2019";616,7;-1
"Mars 2019";620,2;0,6
"Apríl 2019";622,3;0,3
"Maí 2019";624,1;0,3
"Júní 2019";625,1;0,2
"Júlí 2019";625,7;0,1
"Ágúst 2019";629,2;0,6
"September 2019";632,9;0,6
"Október 2019";636,2;0,5
"Nóvember 2019";634,6;-0,3
"Desember 2019";635;0,1
"Janúar 2020";638,3;0,5
"Febrúar 2020";641,8;0,5
"Mars 2020";642,7;0,1
"Apríl 2020";642,4;0
"Maí 2020";647,8;0,8
"Júní 2020";649;0,2
"Júlí 2020";656,6;1,2
"Ágúst 2020";661,7;0,8
"September 2020";668,3;1
"Október 2020";674,6;0,9
"Nóvember 2020";680,1;0,8
"Desember 2020";684,1;0,6
"Janúar 2021";684,7;0,1
"Febrúar 2021";688,9;0,6
"Mars 2021";711,7;3,3
"Apríl 2021";730,6;2,7
"Maí 2021";742,2;1,6
"Júní 2021";752,9;1,4
"Júlí 2021";757,8;0,7
"Ágúst 2021";770;1,6
"September 2021";779,5;1,2
"Október 2021";790,2;1,4
"Nóvember 2021";795,5;0,7
"Desember 2021";810,2;1,8
"Janúar 2022";823,7;1,7
"Febrúar 2022";844;2,5
"Mars 2022";869,9;3,1
